,N,sx,sy,sz,sx_err_stat,sy_err_stat,sz_err_stat,sx_err_sm,sy_err_sm,sz_err_sm,sx_err_tot,sy_err_tot,sz_err_tot,M,Mxder,Myder,Mzder,Meder,M_err_no_Ebeam,M_err_due_to_Ebeam,M_err_with_Ebeam,varN,varN_top_no_Ebeam,varN_bottom_no_Ebeam,varN_top_with_Ebeam,varN_bottom_with_Ebeam
30,6853535.225818364,587.7549337121886,217.7035503208404,69.66306174220527,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,8860774.772849722,14461.514566121077,31095.246773579183,127194.7363674576,974508.2145070056,2145970.5313124736,974508.2145070056,2356874.1547658355,12154532.745296765,13848667.682692477,11121004.290789926,14075500.604706837,11040771.374375332
31,7081986.400012309,590.4528689399592,218.32887234556952,70.50472119069632,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,9027078.14513366,14670.30901096722,31615.008322889404,128035.0874761683,992363.6868140207,2168628.194975435,992363.6868140207,2384897.0491301147,12637995.837794427,14394794.940490501,11561786.945537386,14632899.367461536,11476890.044314783
32,7310437.574206254,593.1508041677298,218.95419437029867,71.18412619575017,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,9174078.061075153,14846.08987756794,32065.26601173889,128878.1439256167,1008084.2302023751,2188864.818743233,1008084.2302023751,2409847.092641888,13135818.301357321,14961241.590108503,12013664.378354441,15211187.530227493,11923942.6527692
33,7538888.7484002,595.8487393955005,219.57951639502778,71.86353120080402,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,9322398.137206458,15022.508817312118,32518.364739920053,129723.63007263631,1023937.6606713476,2209185.790365199,1023937.6606713476,2434943.570042768,13635479.20980976,15528927.677294767,12467512.944150517,15790826.094269358,12372876.309186365
34,7767339.922594145,598.5466746232711,220.20483841975692,72.54293620585786,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,9472055.565393172,15199.546383973397,32974.30625507281,130571.71463964402,1039924.6860036042,2229590.8507826156,1039924.6860036042,2460186.7234934103,14136767.240308633,16097593.758890396,12923158.79862217,16371546.708752295,12823520.312873034
35,7995791.096788091,601.2446098510417,220.83016044448607,73.22234121091171,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,9623079.721187837,15377.291283706196,33433.13794575733,131422.72648001305,1056047.3922713727,2250089.137726356,1056047.3922713727,2485585.8911808506,14639472.445775613,16666991.004039362,13380425.64744354,16953091.346168917,13275701.97302619
36,8224242.270982036,603.9425450788124,221.45548246921518,73.90174621596556,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,9775453.012113625,15555.705466374144,33894.87056223651,132276.34680710372,1072305.9406802852,2270674.979240851,1072305.9406802852,2511136.1754729017,15143426.563310113,17236922.011213657,13839171.896530742,17535256.98204825,13729281.944656845
37,8452693.445175981,606.640480306583,222.08080449394433,74.5811512210194,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,9929167.866316069,15734.728889520236,34359.45305489851,133132.402809005,1088699.2121538904,2291342.235458828,1088699.2121538904,2536831.7276756773,15648465.280246157,17807191.692617897,14299260.068261866,18117841.93655151,14184125.244079368
38,8681144.619369928,609.3384155343537,222.70612651867347,75.26055622607325,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10084229.24822415,15914.38149893569,34826.86364442598,133990.89448571697,1105227.6425249968,2312092.1910236934,1105227.6425249968,2562674.0802517408,16154424.93136669,18377611.80050339,14760550.697354633,18700651.253226195,14640095.19762959
39,8909595.793563873,612.0363507621242,223.3314485434026,75.26626016872919,100.02034685355278,2.5133765388540708,11.906880062813935,30.368429715062916,4.583737118867327,0,104.52899745077306,5.227590994037714,11.906880062813935,10149810.011215417,15951.918013971508,34984.01443347701,134852.05706331015,1111941.0150933464,2322060.017638252,1111941.0150933464,2574563.1758729443,16730520.236186553,19050555.490772493,15274390.890132658,19388580.694008015,15148087.547738466
