"filename", "language", "pip requirements", "Jupyter", "comment", "blank", "total"
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND_with_M_calculation_with_beam_divergence_comparision_with_no_divergence.ipynb", "Jupyter", 0, 559, 0, 1, 560
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND_with_M_calculation_with_beam_divergence_comparision_with_no_divergence_no_Ku_error.ipynb", "Jupyter", 0, 959, 0, 1, 960
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND_with_M_calculation_with_beam_divergence_no_Ku_error.ipynb", "Jupyter", 0, 732, 0, 1, 733
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/ROUND_with_M_calculation_with_beam_divergence_with_emittance_error.ipynb", "Jupyter", 0, 797, 0, 1, 798
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/Untitled.ipynb", "Jupyter", 0, 71, 0, 1, 72
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/coupled_lattice.ipynb", "Jupyter", 0, 50686, 0, 1, 50687
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/plot_Round_Round_Long.ipynb", "Jupyter", 0, 1021, 0, 1, 1022
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/plot_round.ipynb", "Jupyter", 0, 2304, 0, 1, 2305
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/toucshek_lifetime.ipynb", "Jupyter", 0, 1712, 0, 1, 1713
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/toucshek_lifetime_Valishev_devs.ipynb", "Jupyter", 0, 1660, 0, 1, 1661
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/touschek_model_constant_beta.ipynb", "Jupyter", 0, 630, 0, 1, 631
"/home/ilobach/fur/shifts/shift_03_16_2020/round_and_round_long_plots/transmission_data_extrapolation.ipynb", "Jupyter", 0, 153, 0, 1, 154
"/home/ilobach/fur/shifts/shift_03_21_2020/.ipynb_checkpoints/noise_with_comb_filter_03_21_2020-checkpoint.ipynb", "Jupyter", 0, 35610, 0, 1, 35611
"/home/ilobach/fur/shifts/shift_03_21_2020/noise_with_comb_filter_03_21_2020.ipynb", "Jupyter", 0, 35621, 0, 1, 35622
"/home/ilobach/fur/shifts/shift_04_29_2019/.ipynb_checkpoints/test_light_source_04_29_2019-checkpoint.ipynb", "Jupyter", 0, 1340, 0, 1, 1341
"/home/ilobach/fur/shifts/shift_04_29_2019/.ipynb_checkpoints/test_light_source_plot-checkpoint.ipynb", "Jupyter", 0, 515, 0, 1, 516
"/home/ilobach/fur/shifts/shift_04_29_2019/.ipynb_checkpoints/varN_meas_illustration-checkpoint.ipynb", "Jupyter", 0, 1494, 0, 1, 1495
"/home/ilobach/fur/shifts/shift_04_29_2019/test_light_source_04_29_2019.ipynb", "Jupyter", 0, 1340, 0, 1, 1341
"/home/ilobach/fur/shifts/shift_04_29_2019/test_light_source_plot.ipynb", "Jupyter", 0, 516, 0, 1, 517
"/home/ilobach/fur/shifts/shift_04_29_2019/varN_meas_illustration.ipynb", "Jupyter", 0, 1525, 0, 1, 1526
"/home/ilobach/fur/wiggler_radiation/SRW/.ipynb_checkpoints/comparing_SRW_and_Wigrad-checkpoint.ipynb", "Jupyter", 0, 104688, 0, 1, 104689
